group,participant_id,correct,rt_raw,rt_adj,speaker_variety,sentence_type,sentence,familiar_with_fall,learner,two_langs,eq_score,exp_time,lextale_avg,lextale_tra
1,55885869fdf99b4020ba0b64,1,1.98,0.8300000000000001,mexican,interrogative-total-yn,El nino oye el rio,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,0,1.97,0.5700000000000001,cuban,declarative-broad-focus,Mi novio viene del lago,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,1,1.847,0.40700000000000003,castilian,interrogative-total-yn,Marta abre el regalo,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,0,1.816,0.6260000000000001,mexican,declarative-broad-focus,Daniel iba a Bolivia,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,1,1.625,0.625,puertorican,interrogative-total-yn,Maria bebe el vino,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,0,1.661,0.5210000000000001,puertorican,declarative-broad-focus,David leia el libro,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,1,2.473,1.073,castilian,declarative-broad-focus,Marta abre el regalo,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,1,1.947,0.43700000000000006,castilian,interrogative-total-yn,Mi madre come la fruta,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,1,1.868,0.7280000000000002,mexican,declarative-broad-focus,Mi novio viene del lago,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,0,1.866,0.806,cuban,interrogative-total-yn,El nino oye el rio,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,1,1.838,0.7080000000000002,cuban,declarative-broad-focus,El hombre mira la luna,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,0,1.649,0.4890000000000001,puertorican,interrogative-total-yn,La nina lava el plato,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,1,1.852,0.6120000000000001,puertorican,declarative-broad-focus,Emilio ama la marcha,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,0,1.901,0.631,cuban,interrogative-total-yn,Mi madre come la fruta,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55885869fdf99b4020ba0b64,1,1.676,0.536,mexican,declarative-broad-focus,Mi tia odia la lluvia,no,13 or older,"no, only English or Spanish",33,912.464,48.33333333333333,-2
1,55b8d0bffdf99b0f2859fe73,1,1.5535,0.3035000000000001,cuban,declarative-broad-focus,Maria bebe el vino,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12
1,55b8d0bffdf99b0f2859fe73,0,1.5033,0.31330000000000013,mexican,declarative-broad-focus,El bebe comia muy bien,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12
1,55b8d0bffdf99b0f2859fe73,1,1.7872,0.3772,castilian,declarative-broad-focus,El nino oye el rio,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12
1,55b8d0bffdf99b0f2859fe73,0,1.6374,0.49740000000000006,puertorican,interrogative-total-yn,Daniel iba a Bolivia,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12
1,55b8d0bffdf99b0f2859fe73,1,1.7874,0.35740000000000016,mexican,interrogative-total-yn,La maestra vive en Paris,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12
1,55b8d0bffdf99b0f2859fe73,0,2.0221,0.44209999999999994,cuban,declarative-broad-focus,Daniel iba a Bolivia,no,13 or older,"no, only English or Spanish",65,830.7892,40,-12
