participant_id,monolingual,age,sex,group,two_langs
60045900ccb68e4bdd23111e,I was raised with my native language only,55,Female,1,"no, only English or Spanish"
6445b89361755459d55f2ee2,I was raised with my native language only,47,Female,1,"no, only English or Spanish"
5e25c1a57d6cd1000cf870b8,I was raised with my native language only,38,Male,1,"no, only English or Spanish"
610acd05a1f63b626b20ee3a,I was raised with my native language only,25,Female,1,"no, only English or Spanish"
66ae390bfe78fdc5c34fc9ce,I was raised with my native language only,20,Female,1,"no, only English or Spanish"
636ac3f10d9f3b6a0eb54eeb,I was raised with my native language only,70,Male,1,"no, only English or Spanish"
66045682d629a940764580ed,I was raised with my native language only,49,Female,1,"no, only English or Spanish"
679160f6e9c440cda559818e,I was raised with my native language only,26,Female,1,"no, only English or Spanish"
6361560a2e3e691ad312fed2,I was raised with my native language only,37,Female,1,"no, only English or Spanish"
63e548215b42b3f3aa069dc2,I was raised with my native language only,38,Male,1,"no, only English or Spanish"
5de81d685a8f94795b893d45,I was raised with my native language only,42,Male,1,"no, only English or Spanish"
601b28841ca7bb2f8edaa293,I was raised with my native language only,34,Male,1,"no, only English or Spanish"
62ac8c4bf1245233d71d0fd6,I was raised with my native language only,34,Female,1,"yes, I am fluent in another language"
61530f1ae5ab3f22862c319d,I was raised with my native language only,43,Female,1,"no, only English or Spanish"
6521ab1c4a2ffd6c21a3b662,I was raised with my native language only,26,Female,0,"no, only English or Spanish"
69582dd7ba2234408d11808e,I was raised with my native language only,32,Male,0,"no, only English or Spanish"
69134a97886665640fa49f30,I was raised with my native language only,30,Female,0,"no, only English or Spanish"
69602491103bb0e29cba7eea,I was raised with my native language only,19,Female,0,"no, only English or Spanish"
6568b70075a2e3f099a181f2,I was raised with my native language only,57,Female,0,"no, only English or Spanish"
5ed1f281a0e7a4000ae547ce,I was raised with my native language only,24,Male,0,"no, only English or Spanish"
67435174b76a747138e8a47a,I was raised with my native language only,23,Female,0,"no, only English or Spanish"
6110b74b42270b61d9b11ea3,I was raised with my native language only,24,Female,0,"no, only English or Spanish"
67364113bdafe2840fa05b69,I was raised with my native language only,55,Male,0,"no, only English or Spanish"
61088c529cff73b187d19e6d,I was raised with my native language only,43,Female,0,"yes, I am fluent in another language"
6966565729d87a03bc0a7361,I was raised with my native language only,26,Female,0,"no, only English or Spanish"
6598533af62c713d2a872b90,I was raised with my native language only,53,Male,0,"no, only English or Spanish"
5efb5360f3f69c084c1ca850,I was raised with my native language only,30,Male,0,"no, only English or Spanish"
