Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Were you raised monolingual?,U.s state/territory of birth,Current u.s state of residence,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
687d5d8ba4ee78170a135f5a,6110888158573651261c3100,RETURNED,Not Applicable,2025-07-20T21:20:17.857000Z,,,,,,4829,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
687d5e3a1187e6152a3b6f12,6581d897283d62e119520f70,RETURNED,Not Applicable,2025-07-20T21:23:09.802000Z,,,,,,682,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
687d5e43dc45896419b84c88,66eddcfe67e927db6f0a4768,RETURNED,Not Applicable,2025-07-20T21:23:36.149000Z,,,,,,3970,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
687d5f0050314fe7ca71598e,671ab0904de8eb7273ae9d42,RETURNED,Not Applicable,,,,,,,3264,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
687d5f027ccbf969ba045b01,5edbf245e31b590a6e572482,RETURNED,Not Applicable,2025-07-20T21:26:33.451000Z,,,,,,6295,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
687d5f5e514d83bc5302e8ea,657f8d99678be2d216a85c3d,RETURNED,Not Applicable,2025-07-20T21:28:04.003000Z,,,,,,4505,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
687d5f69a51efe54ffdaabc0,66e46bfe1f78048b57ab10ba,RETURNED,Not Applicable,2025-07-20T21:28:14.119000Z,,,,,,1793,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
687d5fd06b552b64ec42a62a,5deaa726df55eb1cc1b9474f,RETURNED,Not Applicable,2025-07-20T21:30:14.355000Z,,,,,,5672,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
687d5fd141f203e8d1927118,67e04f4402f278a9ccfe0f87,RETURNED,Not Applicable,2025-07-20T21:29:59.162000Z,,,,,,2527,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
687d5fe1b2f4e07ffcd95e3a,68474cc30bedb8b982a92c8b,RETURNED,Not Applicable,2025-07-20T21:30:16.066000Z,,,,,,3936,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
687d5ff96df8f4e671afaf08,67608d020ab313f56180df41,RETURNED,Not Applicable,2025-07-20T21:32:01.474000Z,,,,,,2771,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
687d5ffe0be7b6edd69c9d94,560ce65601c38a0012769e20,RETURNED,Not Applicable,2025-07-20T21:30:38.333000Z,,,,,,3476,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
687d606439cda20dc64c7ab5,6728332a47c2c47f9daef26f,RETURNED,Not Applicable,2025-07-20T21:32:23.900000Z,,,,,,839,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
687d60720eeeeb9f91a425ec,63e51ed95836737acc031c11,RETURNED,Not Applicable,2025-07-20T21:32:47.296000Z,,,,,,1285,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
687d60a7bb4678ceea434045,675df6122e621909f289e258,RETURNED,Not Applicable,2025-07-20T21:34:06.769000Z,,,,,,2503,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
687d6138e3c015270d2e61d9,6694251bbfc3e4a246f8125a,RETURNED,Not Applicable,,,,,,,4166,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
687d61bd4eec2856d99e77ec,5e7b6486b704ac034e3f01c8,RETURNED,Not Applicable,2025-07-20T21:38:12.633000Z,,,,,,5936,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
687d623bc0052e8569b78f9d,601e13b872774f263d64acac,TIMED-OUT,Not Applicable,2025-07-20T21:40:21.441000Z,,,,14758844.0,,6587,I was raised with my native language only,New Jersey (NJ),New Jersey (NJ),36,Male,White,United States,United States,United States,English,No,Full-Time
